8
1480 1600
-876 -729 130
-539 279 -638
-1143 -466 1164
1450 147 -471
664 -75 820
-1424 -203 -471
1127 -116 -1419
-1244 -585 525
131 927 1388
963 798 -44
1125 -411 -64
-41 -1009 -384
-909 1217 -815
391 852 411
-1245 -1015 1293
-1137 -1031 -1363
486 -911 -338
1223 1160 -1101
1267 576 -864
-983 1372 694
-1211 -1287 -1026
19 80 -808
773 1408 -330
-1140 -732 231
1112 1395 407
919 -76 778
239 310 -1316
-1188 -143 271
-1013 436 893
1237 -407 454
-1458 -631 -994
-625 -464 897
203 -1109 -908
142 -986 1166
-380 346 -850
-441 -80 -133
478 -655 -911
-1100 1335 -1464
1070 993 148
408 754 -1138
-544 949 398
154 1285 1058
-960 -675 -1401
1040 1200 -388
-805 397 -158
616 -238 -564
-134 490 402
1087 285 -248
668 -386 -577
944 -196 -1027
594 -1442 1165
1275 1352 1219
641 76 461
-1320 -9 568
-1180 -1098 -136
-286 1435 -837
107 -1022 163
-1363 -269 702
-628 -1096 1302
-1100 231 -824
-939 718 -521
-500 -408 -344
1448 1012 -44
-778 -1023 -1362
195 967 1286
826 -1411 1290
1453 -40 -47
796 1159 -1111
-215 465 -432
814 -105 396
-570 943 1370
301 656 177
1131 -1137 105
-1170 -1099 -5
-963 1235 867
-1441 -1419 274
1180 569 -1089
938 -1249 27
-1126 1139 -100
-1022 -348 -996
-45 282 -901
482 -1246 345
529 498 -366
-1225 24 -85
1017 761 534
-1081 -462 -1163
1434 -1166 -87
-1285 -466 -144
957 896 1167
-322 520 -8
1448 834 1259
244 714 509
562 856 113
-1113 812 -1090
-1146 932 1339
734 1426 433
-1122 -485 1456
-400 -523 -67
-99 -450 7
399 89 1427
-1308 103 993
-241 775 -1188
933 1254 769
-126 447 -1316
-31 681 302
-480 253 700
-1136 -51 -47
-372 -1362 305
132 -262 664
132 -22 -215
-220 913 -287
-259 -606 461
-43 -421 637
841 -1018 -993
-549 1233 904
433 -1194 -315
698 -974 -544
421 489 -525
430 -765 1098
1352 772 782
-477 1080 -1480
-428 773 1325
611 -761 981
-1410 -844 1265
-804 551 -991
-592 -358 -1041
1215 1404 1045
872 -660 66
1362 932 1327
868 -425 103
-218 1476 -1215
-627 1353 587
-591 487 605
-110 369 -902
335 -1259 -868
-194 1420 -1217
-834 -356 484
-169 -1300 -73
1098 741 -1233
-465 288 -825
-51 1137 -1260
687 -452 588
245 409 -357
521 -736 -408
301 -559 -816
1150 -690 472
113 860 -1397
-601 114 -1444
-1085 -361 -1410
-713 -1022 1309
-155 828 -32
1269 917 426
1256 -1359 -891
1145 574 -1119
-273 -104 331
-328 -929 -219
1270 1050 1441
764 -996 485
-117 -132 423
1001 -246 -751
-656 1379 -697
-786 981 -52
1191 -100 1303
-841 -153 534
1189 1210 1122
327 -1381 1107
1159 -857 -370
1089 431 1280
-475 237 -799
818 874 -525
-358 -1153 -697
113 -1108 873
1433 -58 -1104
803 1275 959
-341 737 672
177 -1017 -202
352 -1360 -1205
-126 -129 612
869 -330 -70
1476 470 1105
1379 988 653
-201 464 -972
-1422 -636 68
-936 760 1166
-1076 424 1111
1421 -667 478
-361 -450 338
-1010 1075 -694
215 -784 1037
-1051 469 -1214
-1072 197 941
-715 733 -557
1176 -239 1412
823 748 -699
623 749 -16
678 -139 73
237 955 -1251
355 579 -759
1266 -1142 -465
-1361 -1105 -762
